SiteCode,TPG,Power Fees,Area,Host,Vfcode,Sharing Status,PowerSource,Year Target,CG Date,ON-AIR,Counting date
0600DE,GF,GF,DE,VF,4531,VF ON AIR,VF Commercial,2008,1-Jun-09,9-Jul-08,1-Jun-09
3221DE,GF,GF,DE,VF,4649,VF ON AIR,EC owner,2009,18-Jun-09,30-Jun-09,1-Jul-09
3291DE,GF,GF,DE,VF,4379,VF ON AIR,MN Commercial,2010,11-Nov-09,31-Mar-10,1-Apr-10
0763UP,GF,GF,UP,VF,3833,VF ON AIR,VF Commercial,2010,22-Sep-10,16-Dec-10,1-Oct-10
0445SI,GF,GF,SI,VF,5174,VF ON AIR,VF Commercial,2012,26-Dec-11,30-Jun-12,1-Feb-12
3530UP,GF,GF,UP,VF,6456,VF ON AIR,VF Commercial,2012,28-Aug-12,21-Nov-12,1-Oct-12
3650CA,GF,GF,CA,VF,K3808,VF ON AIR,VF EC,2011,25-Dec-11,31-Dec-11,1-Jan-12
3818CA,GF,GF,CA,VF,K5404,VF ON AIR,VF EC,2014,17-Mar-14,9-Jun-14,1-Apr-14
0918DE,GF,GF,DE,VF,5708,VF ON AIR,VF commercial,2008,1-Jun-09,26-Jul-08,1-Jun-09
0920DE,GF,GF,DE,VF,D3936,VF ON AIR,VF Commercial,2008,1-Jun-09,29-Jul-08,1-Jun-09
0301RE,GF,GF,RE,VF,4202,VF ON AIR,Vodafone generator,2008,1-Jun-09,29-Jul-08,1-Jun-09
0074SI,GF,GF,SI,VF,4208,VF ON AIR,VF Commercial,2008,1-Jun-09,18-Aug-08,1-Jun-09
3055DE,GF,GF,DE,VF,4929,VF ON AIR,VF commercial,2008,1-Jun-09,30-Sep-08,1-Jun-09
3008DE,GF,GF,DE,VF,5559,VF ON AIR,MN 27 KVA,2008,1-Jun-09,12-Aug-08,1-Jun-09
0587DE,GF,GF,DE,VF,4563,VF ON AIR,VF Commercial,2008,1-Jun-09,23-Sep-08,1-Jun-09
0786DE,GF,GF,DE,VF,4700,VF ON AIR,VF Commercial,2008,1-Jun-09,21-Sep-08,1-Jun-09
3074DE,GF,GF,DE,VF,4984,VF ON AIR,MN 27 KVA,2008,1-Jun-09,30-Sep-08,1-Jun-09
3075DE,GF,GF,DE,VF,5580,VF ON AIR,MN 27 KVA,2008,1-Jun-09,30-Sep-08,1-Jun-09
3076DE,GF,GF,DE,VF,5777,VF ON AIR,VF Commercial,2008,1-Jun-09,31-Oct-08,1-Jun-09
0710DE,GF,GF,DE,VF,4587,VF ON AIR,VF Commercial,2008,1-Jun-09,31-Oct-08,1-Jun-09
3073DE,GF,GF,DE,VF,5628,VF ON AIR,MN 27 KVA,2008,1-Jun-09,31-Oct-08,1-Jun-09
0198SI,GF,GF,SI,VF,9013,VF ON AIR,MN Solar,2008,1-Jun-09,30-Oct-08,1-Jun-09
7082SI,GF,GF,SI,VF,5282,VF ON AIR,MN 27 KVA,2008,1-Jun-09,30-Oct-08,1-Jun-09
0781UP,GF,GF,UP,VF,3401,VF ON AIR,MN Solar,2008,1-Jun-09,19-Oct-08,1-Jun-09
0785UP,GF,GF,UP,VF,3405,VF ON AIR,MN Solar,2008,1-Jun-09,31-Oct-08,1-Jun-09
0786UP,GF,GF,UP,VF,3406,VF ON AIR,MN Solar,2008,1-Jun-09,31-Oct-08,1-Jun-09
0787UP,GF,GF,UP,VF,3407,VF ON AIR,MN Solar,2008,1-Jun-09,31-Oct-08,1-Jun-09
0788UP,GF,GF,UP,VF,3408,VF ON AIR,MN Solar,2008,1-Jun-09,28-Oct-08,1-Jun-09
0789UP,GF,GF,UP,VF,3409,VF ON AIR,MN Solar,2008,1-Jun-09,30-Oct-08,1-Jun-09
0790UP,GF,GF,UP,VF,3410,VF ON AIR,MN Solar,2008,1-Jun-09,31-Oct-08,1-Jun-09
0791UP,GF,GF,UP,VF,3411,VF ON AIR,MN Solar,2008,1-Jun-09,31-Oct-08,1-Jun-09
0792UP,GF,GF,UP,VF,3412,VF ON AIR,MN Solar,2008,1-Jun-09,31-Oct-08,1-Jun-09
0793UP,GF,GF,UP,VF,3413,VF ON AIR,MN Solar,2008,1-Jun-09,30-Nov-08,1-Jun-09
0794UP,GF,GF,UP,VF,3414,VF ON AIR,MN Solar,2008,1-Jun-09,29-Nov-08,1-Jun-09
0795UP,GF,GF,UP,VF,3428,VF ON AIR,MN Solar,2008,1-Jun-09,29-Nov-08,1-Jun-09
