NEName,,SiteCode,SiteName,Vendor,Suffix,SiteCategory,Powertype,Area,Office,SiteSeverity
BALYANA_2,2G,3291UP,0251_S_SG-RWAFI-QUSIR_3291UP,Nokia,S,Normal,Main Power,South Upper,Sohag,#N/A
Zafarana,#N/A,4166UP,QN-QENAHSWAYA_4166UP,#N/A,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
6_OCT_HUA,2G,0781UP,00760_A_0781UP_GZ-WH-RD-1,Huawei,A,VIP & NODAL,(1)G,North Upper,Bahareya,Golden
EBSHWAY_2,#N/A,0464UP,CAIRO-ASYUT-RD_0464UP,Alcatel,G,Normal,(1)G,Cairo West (Alc.),October,Silver
ObourRNC,3G,4441DE,U_S_4441DE_BH-BSHY-SRYN2,Huawei,S,Normal,#N/A,Delta Area,Delta Area,#N/A
6_OCT_HUA,2G,7090UP,00783_W_7090UP_NODAL-WAHAT-TV-TOWER-1,Huawei,W,VIP & NODAL,#N/A,North Upper,Bahareya ,#N/A
6_OCT_HUA,2G,0788UP,00757_S_0788UP_GZ-WAHAT-RD-7,Huawei,S,Normal,#N/A,North Upper,Bahareya ,#N/A
6_OCT_HUA,2G,0784UP,00753_G_0784UP_GZ-WAHAT-RD-3,Huawei,G,Normal,#N/A,North Upper,Bahareya ,#N/A
6_OCT_HUA,2G,0787UP,00756_G_0787UP_GZ-WAHAT-RD-6,Huawei,G,Normal,#N/A,North Upper,Bahareya ,#N/A
6_OCT_HUA,2G,0791UP,00751_S_0791UP_GZ-WAHAT-RD-10,Huawei,S,Normal,#N/A,North Upper,Bahareya ,#N/A
6_OCT_HUA,2G,0786UP,00755_S_0786UP_GZ-WAHAT-RD-5,Huawei,S,Normal,#N/A,North Upper,Bahareya ,#N/A
6_OCT_HUA,2G,0789UP,00758_S_0789UP_GZ-WAHAT-RD-8,Huawei,S,Normal,#N/A,North Upper,Bahareya ,#N/A
BADRASHEN-EXCH,2G,3120UP,U_S_3120UP_GZ-ELATF,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,0498UP,U_G_0498UP_BRENSHET,Huawei,G,Normal,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,0244UP,U_I_0244UP_MAZGHUNA-STH,Huawei,I,VIP,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,0492UP,03030_C_0492UP_HELWAN-KRIMAT3,Huawei,C,VIP,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,3689UP,03018_S_3689UP_GZ-AYAT-ENT,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,0467UP,03024_S_0467UP_BARADAE-FARM,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,3303UP,U_G_3303UP_GZ-NEGOU-ARAB,Huawei,G,Normal,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,0134UP,03007_S_0134UP_GIZA-LUXOR-3,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,0939UP,03022_S_0939UP_GZ-MNSHAT-FADL,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,0466UP,03025_S_0466UP_SAF2,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,0133UP,03003_G_0133UP_GIZA-LUXOR-2,Huawei,G,Normal,#N/A,North Upper,Beni Suef,#N/A
October_RNC,3G,0133UP,03003_G_0133UP_GIZA-LUXOR-2,Huawei,G,Normal,#N/A,North Upper,Beni Suef,#N/A
October_RNC,3G,0134UP,03007_S_0134UP_GIZA-LUXOR-3,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
October_RNC,3G,0244UP,U_I_0244UP_MAZGHUNA-STH,Huawei,I,VIP,#N/A,North Upper,Beni Suef,#N/A
October_RNC,3G,0498UP,U_G_0498UP_BRENSHET,Huawei,G,Normal,#N/A,North Upper,Beni Suef,#N/A
October_RNC,3G,3120UP,U_S_3120UP_GZ-ELATF,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
